Name,Season,Ranking,Driving Distance,Driving Accuracy,Club Head Speed,Ball Speed,Spin Rate,Eligible
Justin Thomas,2017,1,309.1,54.64,116.52,174.84,2320.1,1.0
Jordan Spieth,2017,2,294.6,58.67,112.66,168.55,2439.6,1.0
Xander Schauffele,2017,3,306.5,58.8,118.33,174.24,2518.8,1.0
Dustin Johnson,2017,4,314.8,54.02,121.45,180.66,2499.9,1.0
Jon Rahm,2017,5,305.3,58.27,116.42,174.53,2193.0,1.0
Marc Leishman,2017,6,299.5,57.8,118.56,174.82,2904.5,1.0
Rickie Fowler,2017,7,300.0,63.57,115.3,172.85,2579.2,1.0
Hideki Matsuyama,2017,8,304.1,60.78,118.38,172.15,2549.1,1.0
Justin Rose,2017,9,299.6,55.74,116.11,171.49,2388.3,1.0
Brooks Koepka,2017,10,309.6,56.03,124.36,180.16,2626.2,1.0
Paul Casey,2017,11,296.2,64.09,116.19,173.79,2627.0,1.0
Kevin Kisner,2017,12,289.6,68.44,112.39,165.06,2790.5,1.0
Russell Henley,2017,13,298.3,63.45,113.62,169.75,2522.9,1.0
Matt Kuchar,2017,14,285.0,64.78,108.1,161.25,2413.0,1.0
Pat Perez,2017,15,291.0,61.12,115.39,168.73,2886.4,1.0
Daniel Berger,2017,16,296.2,59.88,119.25,175.51,2535.8,1.0
Webb Simpson,2017,17,286.2,65.25,110.08,163.16,2395.4,1.0
Jason Day,2017,18,304.3,53.34,118.79,174.65,2222.2,1.0
Tony Finau,2017,19,309.9,57.27,123.11,182.43,2904.7,1.0
Charley Hoffman,2017,20,298.3,58.11,116.99,173.39,2849.0,1.0
Sergio Garcia,2017,21,302.7,62.0,119.99,174.86,2979.0,1.0
Patrick Reed,2017,22,295.4,56.94,116.87,171.83,2765.6,1.0
Jhonattan Vegas,2017,23,301.9,57.5,123.28,183.3,2975.0,1.0
Kyle Stanley,2017,24,296.9,68.6,112.63,168.29,2560.3,1.0
Brian Harman,2017,25,289.5,62.23,109.46,163.5,2217.0,1.0
Adam Hadwin,2017,26,292.0,62.17,115.18,170.79,2690.5,1.0
Kevin Chappell,2017,27,303.7,59.23,119.56,176.23,2377.9,1.0
Gary Woodland,2017,28,307.1,60.29,122.16,180.19,2536.6,1.0
Jason Dufner,2017,30,293.5,65.58,112.76,168.91,2403.5,1.0
Louis Oosthuizen,2017,31,295.4,63.0,114.13,170.98,2565.3,-1.0
Brendan Steele,2017,33,300.3,62.98,117.46,174.53,2554.5,-1.0
Phil Mickelson,2017,34,294.0,53.42,114.51,171.0,2739.3,-1.0
Bill Haas,2017,35,292.8,59.46,114.27,168.3,2810.2,-1.0
Mackenzie Hughes,2017,36,293.3,60.11,115.69,171.03,2903.4,-1.0
Francesco Molinari,2017,37,291.9,70.28,111.91,166.42,2512.0,-1.0
Hudson Swafford,2017,38,305.1,59.65,122.71,176.31,2353.3,-1.0
Chez Reavie,2017,39,284.6,71.39,108.76,160.19,2433.2,-1.0
Charles Howell III,2017,40,298.0,55.48,116.14,174.17,2472.1,-1.0
Wesley Bryan,2017,41,280.4,57.35,109.15,162.96,2713.3,-1.0
Billy Horschel,2017,42,300.1,59.63,116.27,170.8,2290.2,-1.0
Lucas Glover,2017,43,298.5,65.53,116.47,172.5,2360.3,-1.0
Charl Schwartzel,2017,44,298.2,53.14,119.16,176.48,2839.3,-1.0
Kevin Na,2017,45,284.8,60.74,112.07,163.91,2886.8,-1.0
Cameron Smith,2017,46,292.6,56.06,114.47,169.22,2519.4,-1.0
Keegan Bradley,2017,47,299.6,67.68,115.44,172.34,2537.1,-1.0
Zach Johnson,2017,48,286.8,67.8,108.21,161.28,2384.5,-1.0
Bryson DeChambeau,2017,49,299.9,58.86,117.87,174.39,2530.2,-1.0
Luke List,2017,50,311.9,54.75,120.85,181.32,2814.7,-1.0
Anirban Lahiri,2017,51,296.8,59.56,113.12,169.83,2459.2,-1.0
Ian Poulter,2017,52,282.5,62.44,110.67,165.7,2644.2,-1.0
Stewart Cink,2017,53,296.3,54.45,116.14,172.75,2407.8,-1.0
Si Woo Kim,2017,54,289.1,56.45,114.24,167.14,2458.8,-1.0
Scott Brown,2017,55,288.2,63.74,112.27,165.33,2561.1,-1.0
Martin Laird,2017,56,296.5,64.48,115.54,172.21,2442.6,-1.0
Jamie Lovemark,2017,57,304.4,57.33,118.75,177.14,2575.0,-1.0
Sung Kang,2017,59,297.1,59.69,115.37,171.99,2334.4,-1.0
Ollie Schniederjans,2017,60,300.6,52.63,123.5,181.63,2530.0,-1.0
Rafa Cabrera Bello,2017,61,291.2,61.14,111.24,165.76,2451.8,-1.0
Sean O'Hair,2017,62,297.8,60.21,115.26,172.09,2620.7,-1.0
Robert Streb,2017,63,294.3,56.86,116.24,172.85,2553.6,-1.0
Ryan Moore,2017,64,287.7,67.86,108.4,162.41,2359.8,-1.0
Bud Cauley,2017,65,295.9,59.38,112.87,168.7,2497.4,-1.0
Grayson Murray,2017,66,309.0,55.92,120.89,180.56,2649.7,-1.0
Emiliano Grillo,2017,67,294.3,64.48,114.0,168.56,2463.8,-1.0
